"54","54","","","ORDER TINAMIFORMES","","","PHY, SEQ","Tinamou relationships within the ratites are uncertain (Hackett et al. 2008; Baker et al. 2010; Haddrath &amp; Baker 2012), but here treated provisionally as sister to emus and cassowaries (Prum et al. 2015).",""
"55","55","46","Tinamous","Family Tinamidae","","","","",""
"56","56","","","Tinamus","Hermann, 1783","","","",""
"57","57","","Grey Tinamou","Tinamus tao","Temminck, 1815","SA : Amazonia","","",""
"58","58","","","    T. t. larensis","Phelps &amp; Phelps Jr, 1949","c Colombia and nw Venezuela","","",""
"59","59","","","    T. t. septentrionalis","Brabourne &amp; Chubb, C, 1913","ne Venezuela and nw Guyana","","",""
"60","60","","","    T. t. tao","Temminck, 1815","nc Brazil","","",""
"61","61","","","    T. t. kleei","(Tschudi, 1843)","sc Colombia to e Bolivia and w Brazil","","",""
"62","62","","Solitary Tinamou","Tinamus solitarius","(Vieillot, 1819)","SA : e Brazil to ne Argentina and e Paraguay","TAX, SSP","Treat as monotypic; subspecies pernambucensis is synonymous with the nominate (Raposo do Amaral &amp; Silveira 2004).",""
"63","63","","Black Tinamou","Tinamus osgoodi","Conover, 1949","SA : sc Colombia and se Peru","","",""
"64","64","","","    T. o. hershkovitzi","Blake, 1953","sc Colombia","","",""
"65","65","","","    T. o. osgoodi","Conover, 1949","se Peru","","",""
"66","66","","Great Tinamou","Tinamus major","(Gmelin, JF, 1789)","MA, SA : s Mexico through Amazonia","","",""
"67","67","","","    T. m. robustus","Sclater, PL &amp; Salvin, 1868","se Mexico, Guatemala and Honduras","","",""
"68","68","","","    T. m. percautus","Van Tyne, 1935","s Mexico, n Guatemala and Belize","","",""
"69","69","","","    T. m. fuscipennis","Salvadori, 1895","n Nicaragua to w Panama","","",""
"70","70","","","    T. m. brunneiventris","Aldrich, 1937","sc Panama","","",""
"71","71","","","    T. m. castaneiceps","Salvadori, 1895","sw Costa Rica and w Panama","","",""
"72","72","","","    T. m. saturatus","Griscom, 1929","e Panama and nw Colombia","","",""
"73","73","","","    T. m. zuliensis","Osgood &amp; Conover, 1922","ne Colombia and n Venezuela","","",""
"74","74","","","    T. m. latifrons","Salvadori, 1895","sw Colombia and w Ecuador","","",""
"75","75","","","    T. m. major","(Gmelin, JF, 1789)","e Venezuela to ne Brazil","","",""
"76","76","","","    T. m. serratus","(Spix, 1825)","nw Brazil","","",""
"77","77","","","    T. m. olivascens","Conover, 1937","Amazonian Brazil","","",""
"78","78","","","    T. m. peruvianus","Bonaparte, 1856","se Colombia to Bolivia and w Brazil","","",""
"79","79","","White-throated Tinamou","Tinamus guttatus","Pelzeln, 1863","SA : Amazonia","","",""
"80","80","","","Nothocercus","Bonaparte, 1856","","","",""
"81","81","","Highland Tinamou","Nothocercus bonapartei","(Gray, GR, 1867)","MA, SA : Costa Rica to Peru","","",""
"82","82","","","    N. b. frantzii","(Lawrence, 1868)","Costa Rica and w Panama","","",""
"83","83","","","    N. b. bonapartei","(Gray, GR, 1867)","nc Colombia and w Venezuela","","",""
"84","84","","","    N. b. intercedens","Salvadori, 1895","w Colombia","","",""
"85","85","","","    N. b. discrepans","Friedmann, 1947","e Colombia","","",""
"86","86","","","    N. b. plumbeiceps","Lönnberg &amp; Rendahl, 1922","e Ecuador and n Peru","","",""
"87","87","","Tawny-breasted Tinamou","Nothocercus julius","(Bonaparte, 1854)","SA : c Colombia and w Venezuela to sc Peru","","",""
"88","88","","Hooded Tinamou","Nothocercus nigrocapillus","(Gray, GR, 1867)","SA : Peru and Bolivia","","",""
"89","89","","","    N. n. cadwaladeri","Carriker, 1933","nw Peru","","",""
"90","90","","","    N. n. nigrocapillus","(Gray, GR, 1867)","c Peru to n Bolivia","","",""
"91","91","","","Crypturellus","Brabourne &amp; Chubb, C, 1914","","","",""
"92","92","","Berlepsch&#39;s Tinamou","Crypturellus berlepschi","(Rothschild, 1897)","SA : w Colombia and nw Ecuador","","",""
"93","93","","Cinereous Tinamou","Crypturellus cinereus","(Gmelin, JF, 1789)","SA : Amazonia","","",""
"94","94","","Little Tinamou","Crypturellus soui","(Hermann, 1783)","MA, SA : s Mexico to e Brazil","","",""
"95","95","","","    C. s. meserythrus","(Sclater, PL, 1860)","s Mexico to se Nicaragua","","",""
"96","96","","","    C. s. modestus","(Cabanis, 1869)","Costa Rica and w Panama","","",""
"97","97","","","    C. s. capnodes","Wetmore, 1963","nw Panama","","",""
"98","98","","","    C. s. poliocephalus","(Aldrich, 1937)","Panama (Pacific slope)","","",""
"99","99","","","    C. s. panamensis","(Carriker, 1910)","Panama","","",""
"100","100","","","    C. s. mustelinus","(Bangs, 1905)","ne Colombia and nw Venezuela","","",""
"101","101","","","    C. s. soui","(Hermann, 1783)","e Colombia to ne Brazil","","",""
"102","102","","","    C. s. andrei","(Brabourne &amp; Chubb, C, 1914)","Trinidad and ne Venezuela","","",""
"103","103","","","    C. s. caucae","(Chapman, 1912)","nc Colombia","","",""
"104","104","","","    C. s. harterti","(Brabourne &amp; Chubb, C, 1914)","w Colombia and w Ecuador","","",""
"105","105","","","    C. s. caquetae","(Chapman, 1915)","se Colombia","","",""
"106","106","","","    C. s. nigriceps","(Chapman, 1923)","e Ecuador and ne Peru","","",""
"107","107","","","    C. s. albigularis","(Brabourne &amp; Chubb, C, 1914)","n, e Brazil","","",""
"108","108","","","    C. s. inconspicuus","Carriker, 1935","c Peru to e Bolivia","","",""
"109","109","","Tepui Tinamou","Crypturellus ptaritepui","Zimmer, JT &amp; Phelps, 1945","SA : Venezuela","","",""
"110","110","","Brown Tinamou","Crypturellus obsoletus","(Temminck, 1815)","SA : Widespread","","",""
"111","111","","","    C. o. cerviniventris","(Sclater, PL &amp; Salvin, 1873)","n Venezuela","","",""
"112","112","","","    C. o. knoxi","Phelps Jr, 1976","nw Venezuela","","",""
"113","113","","","    C. o. castaneus","(Sclater, PL, 1858)","e Colombia to n Peru","","",""
"114","114","","","    C. o. ochraceiventris","(Stolzmann, 1926)","c Peru","","",""
"115","115","","","    C. o. traylori","Blake, 1961","se Peru","","",""
"116","116","","","    C. o. punensis","(Chubb, C, 1918)","se Peru and n Bolivia","","",""
"117","117","","","    C. o. griseiventris","(Salvadori, 1895)","nc Brazil","","",""
"118","118","","","    C. o. hypochraceus","(Miranda-Ribeiro, 1938)","sw Brazil","","",""
"119","119","","","    C. o. obsoletus","(Temminck, 1815)","s Brazil, Paraguay and ne Argentina","","",""
"120","120","","Undulated Tinamou","Crypturellus undulatus","(Temminck, 1815)","SA : Amazonia and sc","","",""
"121","121","","","    C. u. manapiare","Phelps &amp; Phelps Jr, 1952","s Venezuela","","",""
"122","122","","","    C. u. simplex","(Salvadori, 1895)","s Guyana and nc Brazil","","",""
"123","123","","","    C. u. yapura","(Spix, 1825)","w Amazonia","","",""
"124","124","","","    C. u. adspersus","(Temminck, 1815)","c Brazil","","",""
"125","125","","","    C. u. vermiculatus","(Temminck, 1825)","e Brazil","","",""
"126","126","","","    C. u. undulatus","(Temminck, 1815)","se Peru to n Argentina","","",""
"127","127","","Pale-browed Tinamou","Crypturellus transfasciatus","(Sclater, PL &amp; Salvin, 1878)","SA : w Ecuador and nw Peru","","",""
"128","128","","Brazilian Tinamou","Crypturellus strigulosus","(Temminck, 1815)","SA : e Peru and nw Bolivia through s Amazonian Brazil","","",""
"129","129","","Grey-legged Tinamou","Crypturellus duidae","Zimmer, JT, 1938","SA : ec Colombia to s Venezuela","","",""
"130","130","","Red-legged Tinamou","Crypturellus erythropus","(Pelzeln, 1863)","SA : n","","",""
"131","131","","","    C. e. cursitans","Wetmore &amp; Phelps Jr, 1956","n Colombia and nw Venezuela","","",""
"132","132","","","    C. e. idoneus","(Todd, 1919)","ne Colombia and nw Venezuela","","",""
"133","133","","","    C. e. columbianus","(Salvadori, 1895)","nc Colombia","","",""
"134","134","","","    C. e. saltuarius","Wetmore, 1950","Magdalena Prov. (nc Colombia)","","",""
"135","135","","","    C. e. spencei","(Brabourne &amp; Chubb, C, 1914)","n Venezuela","","",""
"136","136","","","    C. e. margaritae","Phelps &amp; Phelps Jr, 1948","Margarita I. (off Venezuela)","","",""
"137","137","","","    C. e. erythropus","(Pelzeln, 1863)","e Venezuela to ne Brazil","","",""
"138","138","","Yellow-legged Tinamou","Crypturellus noctivagus","(Wied-Neuwied, 1820)","SA : e Brazil","","",""
"139","139","","","    C. n. zabele","(Spix, 1825)","ne Brazil","PS","SACC 738 proposal to split zabele was declined.",""
"140","140","","","    C. n. noctivagus","(Wied-Neuwied, 1820)","se Brazil","","",""
"141","141","","Black-capped Tinamou","Crypturellus atrocapillus","(Tschudi, 1844)","SA : Peru and Bolivia","","",""
"142","142","","","    C. a. atrocapillus","(Tschudi, 1844)","se Peru","","",""
"143","143","","","    C. a. garleppi","(Berlepsch, 1892)","n Bolivia","","",""
"144","144","","Thicket Tinamou","Crypturellus cinnamomeus","(Lesson, PA, 1842)","MA : wc Mexico to Costa Rica","AS","Crypturellus cinnamomeus is split from C. erythropus (H&amp;M; BLI; AOU 1998).",""
"145","145","","","    C. c. occidentalis","(Salvadori, 1895)","wc Mexico","","",""
"146","146","","","    C. c. mexicanus","(Salvadori, 1895)","ec Mexico","","",""
"147","147","","","    C. c. soconuscensis","Brodkorb, 1939","sw Mexico","","",""
"148","148","","","    C. c. vicinior","Conover, 1933","s Mexico to c Honduras","","",""
"149","149","","","    C. c. sallaei","(Bonaparte, 1856)","s Mexico","","",""
"150","150","","","    C. c. goldmani","(Nelson, 1901)","se Mexico, n Guatemala and n Belize","","",""
"151","151","","","    C. c. cinnamomeus","(Lesson, PA, 1842)","s Guatemala, El Salvador and s Honduras","","",""
"152","152","","","    C. c. delattrii","(Bonaparte, 1854)","w Nicaragua","","",""
"153","153","","","    C. c. praepes","(Bangs &amp; Peters, JL, 1927)","nw Costa Rica","","",""
"154","154","","Slaty-breasted Tinamou","Crypturellus boucardi","(Sclater, PL, 1860)","MA : s Mexico to Costa Rica","AS","Crypturellus boucardi is split from C. erythropus (H&amp;M; BLI; AOU 1998).",""
"155","155","","","    C. b. boucardi","(Sclater, PL, 1860)","s Mexico to nw Honduras","","",""
"156","156","","","    C. b. costaricensis","(Dwight &amp; Griscom, 1924)","n, e Honduras to Costa Rica","","",""
"157","157","","Choco Tinamou","Crypturellus kerriae","(Chapman, 1915)","MA, SA : se Panama and nw Colombia","","",""
"158","158","","Variegated Tinamou","Crypturellus variegatus","(Gmelin, JF, 1789)","SA : Amazonia and e Brazil","","",""
"159","159","","Rusty Tinamou","Crypturellus brevirostris","(Pelzeln, 1863)","SA : w, ne Amazonia","","",""
"160","160","","Bartlett&#39;s Tinamou","Crypturellus bartletti","(Sclater, PL &amp; Salvin, 1873)","SA : w Amazonia","","",""
"161","161","","Small-billed Tinamou","Crypturellus parvirostris","(Wagler, 1827)","SA : se Peru and s Amazonian Brazil to ne Argentina","","",""
"162","162","","Barred Tinamou","Crypturellus casiquiare","(Chapman, 1929)","SA : e Colombia and s Venezuela","","",""
"163","163","","Tataupa Tinamou","Crypturellus tataupa","(Temminck, 1815)","SA : e, se, sc","","",""
"164","164","","","    C. t. inops","Bangs &amp; Noble, 1918","sw Ecuador and nw Peru","","",""
"165","165","","","    C. t. lepidotus","(Swainson, 1837)","ne Brazil","","",""
"166","166","","","    C. t. peruvianus","(Cory, 1915)","c Peru","","",""
"167","167","","","    C. t. tataupa","(Temminck, 1815)","n, e Bolivia to s Brazil, Paraguay and n Argentina","","",""
"168","168","","","Rhynchotus","Spix, 1825","","","",""
"169","169","","Red-winged Tinamou","Rhynchotus rufescens","(Temminck, 1815)","SA : e, se, sc","","",""
"170","170","","","    R. r. catingae","Reiser, 1905","c, ne Brazil","","",""
"171","171","","","    R. r. pallescens","Kothe, 1907","ne, c Argentina","","",""
"172","172","","","    R. r. rufescens","(Temminck, 1815)","n Bolivia to e Brazil, Paraguay, ne Argentina and Uruguay","","",""
"173","173","","Huayco Tinamou","Rhynchotus maculicollis","Gray, GR, 1867","SA : nw Bolivia and nw Argentina","","",""
"174","174","","","Nothoprocta","Sclater, PL &amp; Salvin, 1873","","","",""
"175","175","","Taczanowski&#39;s Tinamou","Nothoprocta taczanowskii","Sclater, PL &amp; Salvin, 1875","SA : sc Peru","","",""
"176","176","","Ornate Tinamou","Nothoprocta ornata","(Gray, GR, 1867)","SA : Peru to n Chile and nw Argentina","TAX","Nothoprocta kalinowskii is a synonym of N. ornata (Krabbe &amp; Schulenberg 2005; SACC 246).",""
"177","177","","","    N. o. branickii","Taczanowski, 1875","c Peru","","",""
"178","178","","","    N. o. ornata","(Gray, GR, 1867)","s Peru, w Bolivia and n Chile","SSP","Includes jimenezi and labradori (H&amp;M 4:4; HBW 1).",""
"179","179","","","    N. o. rostrata","Berlepsch, 1907","s Bolivia and nw Argentina","","",""
"180","180","","Chilean Tinamou","Nothoprocta perdicaria","(Kittlitz, 1830)","SA : Chile","","",""
